BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,,Classic Azeri Pop,,,,,,,,,,,,,,New Age,,,,,,,
,,,,,,,Classic Bangla Pop,,,,,,,,,,,,,,New Wave,,,,,,,
,,,,,,,Classic Belgian Pop,,,,,,,,,,,,,,News,,,,,,,
,,,,,,,Classic Bhangra,,,,,,,,,,,,,,News And Current Affairs,,,,,,,
,,,,,,,Classic Bollywood,,,,,,,,,,,,,,News Current Affairs,,,,,,,
,,,,,,,Classic Canadian Rock,,,,,,,,,,,,,,News Reel,,,,,,,
,,,,,,,Classic Cantopop,,,,,,,,,,,,,,News Themes,,,,,,,
,,,,,,,Classic City Pop,,,,,,,,,,,,,,Newsreel,,,,,,,
,,,,,,,Classic Colombian Pop,,,,,,,,,,,,,,Nice,,,,,,,
,,,,,,,Classic Country Pop,,,,,,,,,,,,,,Night,,,,,,,
,,,,,,,Classic Czech Pop,,,,,,,,,,,,,,Night Club,,,,,,,
,,,,,,,Classic Danish Pop,,,,,,,,,,,,,,Night Life,,,,,,,
,,,,,,,Classic Danish Rock,,,,,,,,,,,,,,Nightmare,,,,,,,
,,,,,,,Classic Disco Polo,,,,,,,,,,,,,,Nighttime,,,,,,,
,,,,,,,Classic Dubstep,,,,,,,,,,,,,,No Worries,,,,,,,
,,,,,,,Classic Dutch Pop,,,,,,,,,,,,,,Noble,,,,,,,
,,,,,,,Classic Eurovision,,,,,,,,,,,,,,Non Rhythmic,,,,,,,
,,,,,,,Classic Finnish Pop,,,,,,,,,,,,,,Nostalgia,,,,,,,
,,,,,,,Classic Finnish Rock,,,,,,,,,,,,,,Nostalgic,,,,,,,
,,,,,,,Classic French Pop,,,,,,,,,,,,,,Nu Jazz,,,,,,,
,,,,,,,Classic Garage Rock,,,,,,,,,,,,,,Nu Metal,,,,,,,
,,,,,,,Classic Girl Group,,,,,,,,,,,,,,Nude,,,,,,,
,,,,,,,Classic Greek Pop,,,,,,,,,,,,,,Occult,,,,,,,
,,,,,,,Classic Greek Rock,,,,,,,,,,,,,,Oceanic,,,,,,,
,,,,,,,Classic Hardstyle,,,,,,,,,,,,,,Odd,,,,,,,
,,,,,,,Classic House,,,,,,,,,,,,,,Oddball,,,,,,,
,,,,,,,Classic Hungarian Pop,,,,,,,,,,,,,,Off,,,,,,,
,,,,,,,Classic Hungarian Rock,,,,,,,,,,,,,,Off The Wall,,,,,,,
,,,,,,,Classic Icelandic Pop,,,,,,,,,,,,,,Old Skool,,,,,,,
,,,,,,,Classic Indo Pop,,,,,,,,,,,,,,Olympics,,,,,,,
,,,,,,,Classic Indonesian Rock,,,,,,,,,,,,,,Ominous,,,,,,,
,,,,,,,Classic Iskelma,,,,,,,,,,,,,,On Edge,,,,,,,
,,,,,,,Classic Israeli Pop,,,,,,,,,,,,,,On Hold,,,,,,,
,,,,,,,Classic Italian Folk Pop,,,,,,,,,,,,,,Optimism,,,,,,,
,,,,,,,Classic Italian Pop,,,,,,,,,,,,,,Optimistic,,,,,,,
,,,,,,,Classic J-Pop,,,,,,,,,,,,,,Orchestral Hybrid,,,,,,,
,,,,,,,Classic J-Rock,,,,,,,,,,,,,,Orchestral Pop,,,,,,,
,,,,,,,Classic Japanese Jazz,,,,,,,,,,,,,,Organic,,,,,,,
,,,,,,,Classic K-Pop,,,,,,,,,,,,,,Oriental,,,,,,,
,,,,,,,Classic Kollywood,,,,,,,,,,,,,,Otherworldly,,,,,,,
,,,,,,,Classic Konkani Pop,,,,,,,,,,,,,,Outdoors,,,,,,,
,,,,,,,Classic Korean Pop,,,,,,,,,,,,,,Outer Space,,,,,,,
,,,,,,,Classic Latvian Pop,,,,,,,,,,,,,,Over The Top,,,,,,,
,,,,,,,Classic Luk Thung,,,,,,,,,,,,,,Painting,,,,,,,
,,,,,,,Classic Malaysian Pop,,,,,,,,,,,,,,Panic,,,,,,,
,,,,,,,Classic Mandopop,,,,,,,,,,,,,,Panic Stricken,,,,,,,
,,,,,,,Classic Moroccan Pop,,,,,,,,,,,,,,Panoramic,,,,,,,
,,,,,,,Classic Nepali Pop,,,,,,,,,,,,,,Papparazzi,,,,,,,
,,,,,,,Classic Norwegian Pop,,,,,,,,,,,,,,Party,,,,,,,
,,,,,,,Classic Nz Pop,,,,,,,,,,,,,,Party Club,,,,,,,
,,,,,,,Classic Opm,,,,,,,,,,,,,,Passionate,,,,,,,
,,,,,,,Classic Pakistani Pop,,,,,,,,,,,,,,Pastoral,,,,,,,
,,,,,,,Classic Persian Pop,,,,,,,,,,,,,,Patriotic,,,,,,,
,,,,,,,Classic Peruvian Pop,,,,,,,,,,,,,,Peaceful,,,,,,,
,,,,,,,Classic Polish Pop,,,,,,,,,,,,,,Pensive,,,,,,,
,,,,,,,Classic Portuguese Pop,,,,,,,,,,,,,,Peppy,,,,,,,
,,,,,,,Classic Praise,,,,,,,,,,,,,,Percussive,,,,,,,
,,,,,,,Classic Progressive House,,,,,,,,,,,,,,Perky,,,,,,,
,,,,,,,Classic Punjabi Pop,,,,,,,,,,,,,,Persistent,,,,,,,
,,,,,,,Classic Rock,,,,,,,,,,,,,,Pessimistic,,,,,,,
,,,,,,,Classic Romanian Pop,,,,,,,,,,,,,,Photo Shoot,,,,,,,
,,,,,,,Classic Russian Pop,,,,,,,,,,,,,,Piano Man,,,,,,,
,,,,,,,Classic Russian Rock,,,,,,,,,,,,,,Picked,,,,,,,
,,,,,,,Classic Schlager,,,,,,,,,,,,,,Pickup,,,,,,,
,,,,,,,Classic Sinhala Pop,,,,,,,,,,,,,,Pickup Truck,,,,,,,
,,,,,,,Classic Soul,,,,,,,,,,,,,,Piercing,,,,,,,
,,,,,,,Classic Soundtrack,,,,,,,,,,,,,,Pissed,,,,,,,
,,,,,,,Classic Swedish Pop,,,,,,,,,,,,,,Pixie,,,,,,,
,,,,,,,Classic Thai Pop,,,,,,,,,,,,,,Pixie Dust,,,,,,,
,,,,,,,Classic Tollywood,,,,,,,,,,,,,,Pizzicato,,,,,,,
,,,,,,,Classic Tunisian Pop,,,,,,,,,,,,,,Plain,,,,,,,
,,,,,,,Classic Turkish Pop,,,,,,,,,,,,,,Playful,,,,,,,
,,,,,,,Classic Uk Pop,,,,,,,,,,,,,,Playtime,,,,,,,
,,,,,,,Classic Venezuelan Pop,,,,,,,,,,,,,,Pleasant,,,,,,,
,,,,,,,Classical,,,,,,,,,,,,,,Pleased,,,,,,,
,,,,,,,Classical Accordion,,,,,,,,,,,,,,Pleasure,,,,,,,
,,,,,,,Classical Baritone,,,,,,,,,,,,,,Plodding,,,,,,,
,,,,,,,Classical Bass,,,,,,,,,,,,,,Poetic,,,,,,,
,,,,,,,Classical Bassoon,,,,,,,,,,,,,,Poignant,,,,,,,
,,,,,,,Classical Cello,,,,,,,,,,,,,,Police,,,,,,,
,,,,,,,Classical Clarinet,,,,,,,,,,,,,,Politics,,,,,,,
,,,,,,,Classical Contralto,,,,,,,,,,,,,,Polka,,,,,,,
,,,,,,,Classical Countertenor,,,,,,,,,,,,,,Pomp,,,,,,,
,,,,,,,Classical Era,,,,,,,,,,,,,,Pompous,,,,,,,
,,,,,,,Classical Flute,,,,,,,,,,,,,,Pondering,,,,,,,
,,,,,,,Classical Guitar,,,,,,,,,,,,,,Pool Party,,,,,,,
,,,,,,,Classical Harp,,,,,,,,,,,,,,Pop,,,,,,,
,,,,,,,Classical Horn,,,,,,,,,,,,,,Pop Rock,,,,,,,
,,,,,,,Classical Jazz Fusion,,,,,,,,,,,,,,Poppy,,,,,,,
,,,,,,,Classical Mandolin,,,,,,,,,,,,,,Pornography,,,,,,,
,,,,,,,Classical Mezzo-Soprano,,,,,,,,,,,,,,Positive,,,,,,,
,,,,,,,Classical Oboe,,,,,,,,,,,,,,Possessed,,,,,,,
,,,,,,,Classical Organ,,,,,,,,,,,,,,Post Rock,,,,,,,
,,,,,,,Classical Percussion,,,,,,,,,,,,,,Potent,,,,,,,
,,,,,,,Classical Performance,,,,,,,,,,,,,,Pounding,,,,,,,
,,,,,,,Classical Piano,,,,,,,,,,,,,,Powerful,,,,,,,
,,,,,,,Classical Piano Trio,,,,,,,,,,,,,,Powerpoint,,,,,,,
,,,,,,,Classical Saxophone,,,,,,,,,,,,,,Pre School,,,,,,,
,,,,,,,Classical Soprano,,,,,,,,,,,,,,Presentation,,,,,,,
,,,,,,,Classical Tenor,,,,,,,,,,,,,,Press,,,,,,,
,,,,,,,Classical Trombone,,,,,,,,,,,,,,Pressure,,,,,,,
,,,,,,,Classical Trumpet,,,,,,,,,,,,,,Prestige,,,,,,,
,,,,,,,Classify,,,,,,,,,,,,,,Prestigious,,,,,,,
,,,,,,,Clawhammer Banjo,,,,,,,,,,,,,,Pretend,,,,,,,
,,,,,,,Clean Comedy,,,,,,,,,,,,,,Pretty,,,,,,,
,,,,,,,Cleveland Indie,,,,,,,,,,,,,,Pride,,,,,,,
,,,,,,,Cleveland Metal,,,,,,,,,,,,,,Product Launch,,,,,,,
,,,,,,,Coco,,,,,,,,,,,,,,Progress,,,,,,,
,,,,,,,Cocuk Sarkilari,,,,,,,,,,,,,,Promising,,,,,,,
,,,,,,,Coldwave,,,,,,,,,,,,,,Promotion,,,,,,,
,,,,,,,Collage Pop,,,,,,,,,,,,,,Propulsive,,,,,,,
,,,,,,,College A Cappella,,,,,,,,,,,,,,Prosperous,,,,,,,
,,,,,,,College Marching Band,,,,,,,,,,,,,,Proud,,,,,,,
,,,,,,,Cologne Electronic,,,,,,,,,,,,,,Prudent,,,,,,,
,,,,,,,Cologne Hip Hop,,,,,,,,,,,,,,Psychedelic,,,,,,,
,,,,,,,Cologne Indie,,,,,,,,,,,,,,Psycho,,,,,,,
,,,,,,,Colombian Black Metal,,,,,,,,,,,,,,Psychological Thriller,,,,,,,
,,,,,,,Colombian Death Metal,,,,,,,,,,,,,,Pub,,,,,,,
,,,,,,,Colombian Electronic,,,,,,,,,,,,,,Public Service Announcement,,,,,,,
,,,,,,,Colombian Hardcore,,,,,,,,,,,,,,Pulsating,,,,,,,
,,,,,,,Colombian Hip Hop,,,,,,,,,,,,,,Pulsing,,,,,,,
,,,,,,,Colombian Indie,,,,,,,,,,,,,,Pumping,,,,,,,
,,,,,,,Colombian Pop,,,,,,,,,,,,,,Punchy,,,,,,,
,,,,,,,Colombian Rock,,,,,,,,,,,,,,Punk,,,,,,,
,,,,,,,Colorado Hardcore,,,,,,,,,,,,,,Punk Rock,,,,,,,
,,,,,,,Columbus Ohio Indie,,,,,,,,,,,,,,Punky,,,,,,,
,,,,,,,Combos Nacionales,,,,,,,,,,,,,,Pursuit,,,,,,,
,,,,,,,Comedia,,,,,,,,,,,,,,Pushing,,,,,,,
,,,,,,,Comedie Musicale,,,,,,,,,,,,,,Quest,,,,,,,
,,,,,,,Comedienne,,,,,,,,,,,,,,Quiet,,,,,,,
,,,,,,,Comedy,,,,,,,,,,,,,,Quirky,,,,,,,
,,,,,,,Comedy Rap,,,,,,,,,,,,,,Quiz,,,,,,,
,,,,,,,Comedy Rock,,,,,,,,,,,,,,Quiz Show,,,,,,,
,,,,,,,Comic,,,,,,,,,,,,,,R&B,,,,,,,
,,,,,,,Comic Metal,,,,,,,,,,,,,,Racing,,,,,,,
,,,,,,,Commons,,,,,,,,,,,,,,Radical,,,,,,,
,,,,,,,Complextro,,,,,,,,,,,,,,Radio,,,,,,,
,,,,,,,Compositional Ambient,,,,,,,,,,,,,,Radio Themes,,,,,,,
,,,,,,,Comptine,,,,,,,,,,,,,,Rafting,,,,,,,
,,,,,,,Comptine Africaine,,,,,,,,,,,,,,Rage,,,,,,,
,,,,,,,Concepcion Indie,,,,,,,,,,,,,,Raising,,,,,,,
,,,,,,,Concert Band,,,,,,,,,,,,,,Ralley,,,,,,,
,,,,,,,Concertina,,,,,,,,,,,,,,Rallye,,,,,,,
,,,,,,,Congolese Gospel,,,,,,,,,,,,,,Randy,,,,,,,
,,,,,,,Connecticut Hardcore,,,,,,,,,,,,,,Rap,,,,,,,
,,,,,,,Connecticut Indie,,,,,,,,,,,,,,Raunchy,,,,,,,
,,,,,,,Conscious Hip Hop,,,,,,,,,,,,,,Rave,,,,,,,
,,,,,,,Contemporary Choir,,,,,,,,,,,,,,Raw,,,,,,,
,,,,,,,Contemporary Classical,,,,,,,,,,,,,,Raw Energy,,,,,,,
,,,,,,,Contemporary Classical Piano,,,,,,,,,,,,,,Reality,,,,,,,
,,,,,,,Contemporary Country,,,,,,,,,,,,,,Reality Tv,,,,,,,
,,,,,,,Contemporary Folk,,,,,,,,,,,,,,Rebellious,,,,,,,
,,,,,,,Contemporary Gospel,,,,,,,,,,,,,,Recovery,,,,,,,
,,,,,,,Contemporary Jazz,,,,,,,,,,,,,,Recreation,,,,,,,
,,,,,,,Contemporary Post-Bop,,,,,,,,,,,,,,Recycle,,,,,,,
,,,,,,,Contemporary R&B,,,,,,,,,,,,,,Redneck,,,,,,,
,,,,,,,Contemporary Vocal Jazz,,,,,,,,,,,,,,Reduced,,,,,,,
,,,,,,,Contrabass,,,,,,,,,,,,,,Reflective,,,,,,,
,,,,,,,Convent,,,,,,,,,,,,,,Regal,,,,,,,
,,,,,,,Cook Islands Pop,,,,,,,,,,,,,,Reggae,,,,,,,
,,,,,,,Cool Jazz,,,,,,,,,,,,,,Reggaeton,,,,,,,
,,,,,,,Copla,,,,,,,,,,,,,,Regret,,,,,,,
,,,,,,,Coral Gospel,,,,,,,,,,,,,,Reindeer,,,,,,,
,,,,,,,Cork Indie,,,,,,,,,,,,,,Rejoice,,,,,,,
,,,,,,,Cornetas Y Tambores,,,,,,,,,,,,,,Relationship,,,,,,,
,,,,,,,Cornish Folk,,,,,,,,,,,,,,Relaxed,,,,,,,
,,,,,,,Cornwall Indie,,,,,,,,,,,,,,Relentless,,,,,,,
,,,,,,,Corrido,,,,,,,,,,,,,,Religion,,,,,,,
,,,,,,,Corridos Alternativos,,,,,,,,,,,,,,Religious,,,,,,,
,,,,,,,Corridos Clasicos,,,,,,,,,,,,,,Reluctant,,,,,,,
,,,,,,,Corridos Cristianos,,,,,,,,,,,,,,Remix,,,,,,,
,,,,,,,Corridos Tumbados,,,,,,,,,,,,,,Renewable,,,,,,,
,,,,,,,Corrosion,,,,,,,,,,,,,,Renovation,,,,,,,
,,,,,,,Corsican Folk,,,,,,,,,,,,,,Repetitive,,,,,,,
,,,,,,,Cosmic American,,,,,,,,,,,,,,Research,,,,,,,
,,,,,,,Cosmic Black Metal,,,,,,,,,,,,,,Resolution,,,,,,,
,,,,,,,Cosmic Death Metal,,,,,,,,,,,,,,Restaurant,,,,,,,
,,,,,,,Cosmic Post-Rock,,,,,,,,,,,,,,Restful,,,,,,,
,,,,,,,Cosmic Uplifting Trance,,,,,,,,,,,,,,Restless,,,,,,,
,,,,,,,Country,,,,,,,,,,,,,,Retail,,,,,,,
,,,,,,,Country Blues,,,,,,,,,,,,,,Retail Background Music,,,,,,,
,,,,,,,Country Boogie,,,,,,,,,,,,,,Retro,,,,,,,
,,,,,,,Country Dawn,,,,,,,,,,,,,,Reveal,,,,,,,
,,,,,,,Country Gospel,,,,,,,,,,,,,,Reverb,,,,,,,
,,,,,,,Country Pop,,,,,,,,,,,,,,Reverie,,,,,,,
,,,,,,,Country Quebecois,,,,,,,,,,,,,,Rhythm,,,,,,,
,,,,,,,Country Rap,,,,,,,,,,,,,,Rhythm And Blues,,,,,,,
,,,,,,,Country Road,,,,,,,,,,,,,,Rhythm Track,,,,,,,
,,,,,,,Country Rock,,,,,,,,,,,,,,Rhythmic,,,,,,,
,,,,,,,Coupe-Decale,,,,,,,,,,,,,,Rich,,,,,,,
,,,,,,,Coventry Indie,,,,,,,,,,,,,,Riding,,,,,,,
,,,,,,,Cover Acustico,,,,,,,,,,,,,,Riff,,,,,,,
,,,,,,,Coverchill,,,,,,,,,,,,,,Riots,,,,,,,
,,,,,,,Covertrance,,,,,,,,,,,,,,Rising,,,,,,,
,,,,,,,Cowboy Western,,,,,,,,,,,,,,Risk,,,,,,,
,,,,,,,Cowpunk,,,,,,,,,,,,,,Risky,,,,,,,
,,,,,,,Crack Rock Steady,,,,,,,,,,,,,,Road,,,,,,,
,,,,,,,Croatian Electronic,,,,,,,,,,,,,,Road Movie,,,,,,,
,,,,,,,Croatian Hip Hop,,,,,,,,,,,,,,Road Trip,,,,,,,
,,,,,,,Croatian Indie,,,,,,,,,,,,,,Roadhouse,,,,,,,
,,,,,,,Croatian Metal,,,,,,,,,,,,,,Roadmovie,,,,,,,
,,,,,,,Croatian Pop,,,,,,,,,,,,,,Roadtrip,,,,,,,
,,,,,,,Croatian Rock,,,,,,,,,,,,,,Robbery,,,,,,,
,,,,,,,Crossover Thrash,,,,,,,,,,,,,,Robotic,,,,,,,
,,,,,,,Crunk,,,,,,,,,,,,,,Rock,,,,,,,
,,,,,,,Crust Punk,,,,,,,,,,,,,,Rock And Roll,,,,,,,
,,,,,,,Cuarteto,,,,,,,,,,,,,,Rock Band,,,,,,,
,,,,,,,Cuatro Venezolano,,,,,,,,,,,,,,Rock Pop,,,,,,,
,,,,,,,Cuban Alternative,,,,,,,,,,,,,,Rock Techno,,,,,,,
,,,,,,,Cuban Electronic,,,,,,,,,,,,,,Rocket,,,,,,,
,,,,,,,Cuban Funk,,,,,,,,,,,,,,Rocktronica,,,,,,,
,,,,,,,Cuban Rumba,,,,,,,,,,,,,,Rollicking,,,,,,,
,,,,,,,Cubaton,,,,,,,,,,,,,,Rolling,,,,,,,
,,,,,,,Cueca Chilena,,,,,,,,,,,,,,Romance,,,,,,,
,,,,,,,Cuento Infantile,,,,,,,,,,,,,,Romantic,,,,,,,
,,,,,,,Cumbia,,,,,,,,,,,,,,Romantic Comedy,,,,,,,
,,,,,,,Cumbia 420,,,,,,,,,,,,,,Roots,,,,,,,
,,,,,,,Cumbia Andina Mexicana,,,,,,,,,,,,,,Rough,,,,,,,
,,,,,,,Cumbia Boliviana,,,,,,,,,,,,,,Rousing,,,,,,,
,,,,,,,Cumbia Chilena,,,,,,,,,,,,,,Rowdy,,,,,,,
,,,,,,,Cumbia Colombiana Regia,,,,,,,,,,,,,,Royal,,,,,,,
,,,,,,,Cumbia Del Sureste,,,,,,,,,,,,,,Royal Ceremony,,,,,,,
,,,,,,,Cumbia Ecuatoriana,,,,,,,,,,,,,,Royalty,,,,,,,
,,,,,,,Cumbia Funk,,,,,,,,,,,,,,Rugged,,,,,,,
,,,,,,,Cumbia Lagunera,,,,,,,,,,,,,,Rumble,,,,,,,
,,,,,,,Cumbia Paraguaya,,,,,,,,,,,,,,Running,,,,,,,
,,,,,,,Cumbia Peruana,,,,,,,,,,,,,,Runway,,,,,,,
,,,,,,,Cumbia Pop,,,,,,,,,,,,,,Rural,,,,,,,
,,,,,,,Cumbia Ranchera,,,,,,,,,,,,,,Sacral,,,,,,,
,,,,,,,Cumbia Salvadorena,,,,,,,,,,,,,,Sacred,,,,,,,
,,,,,,,Cumbia Santafesina,,,,,,,,,,,,,,Sad,,,,,,,
,,,,,,,Cumbia Sonidera,,,,,,,,,,,,,,Salsa,,,,,,,
,,,,,,,Cumbia Sonorense,,,,,,,,,,,,,,Salvation,,,,,,,
,,,,,,,Cumbia Surena,,,,,,,,,,,,,,Samba,,,,,,,
,,,,,,,Cumbia Uruguaya,,,,,,,,,,,,,,Sand,,,,,,,
,,,,,,,Cumbia Villera,,,,,,,,,,,,,,Santa Clause,,,,,,,
,,,,,,,Cyber Metal,,,,,,,,,,,,,,Sarcastic,,,,,,,
,,,,,,,Cybergrind,,,,,,,,,,,,,,Sassy,,,,,,,
,,,,,,,Cyberpunk,,,,,,,,,,,,,,Satanic,,,,,,,
,,,,,,,Cymraeg,,,,,,,,,,,,,,Satisfied,,,,,,,
,,,,,,,Cypriot Hip Hop,,,,,,,,,,,,,,Saved,,,,,,,
,,,,,,,Cypriot Pop,,,,,,,,,,,,,,Savior,,,,,,,
,,,,,,,Czech Classical,,,,,,,,,,,,,,Scare,,,,,,,
,,,,,,,Czech Classical Piano,,,,,,,,,,,,,,Scary,,,,,,,
,,,,,,,Czech Contemporary Classical,,,,,,,,,,,,,,Scenic,,,,,,,
,,,,,,,Czech Country,,,,,,,,,,,,,,Schmaltz,,,,,,,
,,,,,,,Czech Electronic,,,,,,,,,,,,,,School,,,,,,,
,,,,,,,Czech Folk,,,,,,,,,,,,,,Sci Fi,,,,,,,
,,,,,,,Czech Folk Rock,,,,,,,,,,,,,,Science,,,,,,,
,,,,,,,Czech Hip Hop,,,,,,,,,,,,,,Sea,,,,,,,
,,,,,,,Czech Indie,,,,,,,,,,,,,,Seaside,,,,,,,
,,,,,,,Czech Metal,,,,,,,,,,,,,,Secret,,,,,,,
,,,,,,,Czech Pop,,,,,,,,,,,,,,Secret Agent,,,,,,,
,,,,,,,Czech Pop Rock,,,,,,,,,,,,,,Seductive,,,,,,,
,,,,,,,Czech Punk,,,,,,,,,,,,,,Sensitive,,,,,,,
,,,,,,,Czech Rock,,,,,,,,,,,,,,Sensual,,,,,,,
,,,,,,,Czech Singer-Songwriter,,,,,,,,,,,,,,Sentimental,,,,,,,
,,,,,,,Czsk Emo Rap,,,,,,,,,,,,,,Serene,,,,,,,
,,,,,,,Czsk Hip Hop,,,,,,,,,,,,,,Serious,,,,,,,
,,,,,,,Czsk Reggae,,,,,,,,,,,,,,Severe,,,,,,,
,,,,,,,Czsk Viral Pop,,,,,,,,,,,,,,Sex,,,,,,,
,,,,,,,D-Beat,,,,,,,,,,,,,,Sex Drive,,,,,,,
,,,,,,,Dabke,,,,,,,,,,,,,,Sexual,,,,,,,
,,,,,,,Dainuojamoji Poezija,,,,,,,,,,,,,,Sexy,,,,,,,
,,,,,,,Dakke Dak,,,,,,,,,,,,,,Shattering,,,,,,,
,,,,,,,Dalarna Indie,,,,,,,,,,,,,,Shimmering,,,,,,,
,,,,,,,Dallas Indie,,,,,,,,,,,,,,Shine,,,,,,,
,,,,,,,Dance Pop,,,,,,,,,,,,,,Shock,,,,,,,
,,,,,,,Dance Rock,,,,,,,,,,,,,,Shopping,,,,,,,
,,,,,,,Dance-Punk,,,,,,,,,,,,,,Show,,,,,,,
,,,,,,,Dancefloor DnB,,,,,,,,,,,,,,Show Business,,,,,,,
,,,,,,,Dancehall,,,,,,,,,,,,,,Shuffle,,,,,,,
,,,,,,,Dancehall Chileno,,,,,,,,,,,,,,Silent Movie,,,,,,,
,,,,,,,Dancehall Colombiano,,,,,,,,,,,,,,Silicon Valley,,,,,,,
,,,,,,,Dancehall Guyanaise,,,,,,,,,,,,,,Silly,,,,,,,
,,,,,,,Dancehall Queen,,,,,,,,,,,,,,Simple,,,,,,,
,,,,,,,Dangdut,,,,,,,,,,,,,,Sincere,,,,,,,
,,,,,,,Dangdut Koplo,,,,,,,,,,,,,,Sinister,,,,,,,
,,,,,,,Dangdut Remix,,,,,,,,,,,,,,Sirens,,,,,,,
,,,,,,,Danish Alternative Rock,,,,,,,,,,,,,,Sitcom,,,,,,,
,,,,,,,Danish Black Metal,,,,,,,,,,,,,,Ska,,,,,,,
,,,,,,,Danish Choir,,,,,,,,,,,,,,Skateboarding,,,,,,,
,,,,,,,Danish Classical,,,,,,,,,,,,,,Skater,,,,,,,
,,,,,,,Danish Death Metal,,,,,,,,,,,,,,Skating,,,,,,,
,,,,,,,Danish Electronic,,,,,,,,,,,,,,Skipping,,,,,,,
,,,,,,,Danish Electropop,,,,,,,,,,,,,,Sky,,,,,,,
,,,,,,,Danish Experimental,,,,,,,,,,,,,,Slamming,,,,,,,
,,,,,,,Danish Folk,,,,,,,,,,,,,,Slap Stick,,,,,,,
,,,,,,,Danish Hardcore,,,,,,,,,,,,,,Slapstick,,,,,,,
,,,,,,,Danish Hip Hop,,,,,,,,,,,,,,Sleazy,,,,,,,
,,,,,,,Danish Indie,,,,,,,,,,,,,,Sledding,,,,,,,
,,,,,,,Danish Indie Pop,,,,,,,,,,,,,,Sleepy,,,,,,,
,,,,,,,Danish Jazz,,,,,,,,,,,,,,Slick,,,,,,,
,,,,,,,Danish Metal,,,,,,,,,,,,,,Slideshow,,,,,,,
,,,,,,,Danish Modern Jazz,,,,,,,,,,,,,,Slinky,,,,,,,
,,,,,,,Danish Pop,,,,,,,,,,,,,,Slow,,,,,,,
,,,,,,,Danish Pop Rock,,,,,,,,,,,,,,Slow Motion,,,,,,,
,,,,,,,Danish Post-Punk,,,,,,,,,,,,,,Sluggish,,,,,,,
,,,,,,,Danish Punk,,,,,,,,,,,,,,Sly,,,,,,,
,,,,,,,Danish Rock,,,,,,,,,,,,,,Smart,,,,,,,
,,,,,,,Danish Singer-Songwriter,,,,,,,,,,,,,,Smile,,,,,,,
,,,,,,,Danish Techno,,,,,,,,,,,,,,Smoke,,,,,,,
,,,,,,,Dansband,,,,,,,,,,,,,,Smokey,,,,,,,
,,,,,,,Danseband,,,,,,,,,,,,,,Smooth,,,,,,,
,,,,,,,Dansei Seiyu,,,,,,,,,,,,,,Smooth Jazz,,,,,,,
,,,,,,,Dansk Comedy,,,,,,,,,,,,,,Sneaky,,,,,,,
,,,,,,,Dansk Lovsang,,,,,,,,,,,,,,Snow,,,,,,,
,,,,,,,Dansktop,,,,,,,,,,,,,,Snowboarding,,,,,,,
,,,,,,,Danspunk,,,,,,,,,,,,,,Soap Opera,,,,,,,
,,,,,,,Darbuka,,,,,,,,,,,,,,Soaring,,,,,,,
,,,,,,,Dark Ambient,,,,,,,,,,,,,,Soccer,,,,,,,
,,,,,,,Dark Black Metal,,,,,,,,,,,,,,Social,,,,,,,
,,,,,,,Dark Cabaret,,,,,,,,,,,,,,Social Media,,,,,,,
,,,,,,,Dark Clubbing,,,,,,,,,,,,,,Soft,,,,,,,
,,,,,,,Dark Disco,,,,,,,,,,,,,,Soft Rock,,,,,,,
,,,,,,,Dark Electro,,,,,,,,,,,,,,Soldier,,,,,,,
,,,,,,,Dark Folk,,,,,,,,,,,,,,Solemn,,,,,,,
,,,,,,,Dark Hardcore,,,,,,,,,,,,,,Solo,,,,,,,
,,,,,,,Dark Jazz,,,,,,,,,,,,,,Solo Piano,,,,,,,
,,,,,,,Dark Minimal Techno,,,,,,,,,,,,,,Somber,,,,,,,
,,,,,,,Dark Pop,,,,,,,,,,,,,,Sombre,,,,,,,
,,,,,,,Dark Post-Punk,,,,,,,,,,,,,,Soothing,,,,,,,
,,,,,,,Dark Progressive House,,,,,,,,,,,,,,Sophisticated,,,,,,,
,,,,,,,Dark Psytrance,,,,,,,,,,,,,,Sorrowful,,,,,,,
,,,,,,,Dark Rock,,,,,,,,,,,,,,Soul Funk,,,,,,,
,,,,,,,Dark Synthpop,,,,,,,,,,,,,,Soulful,,,,,,,
,,,,,,,Dark Techno,,,,,,,,,,,,,,Soundscape,,,,,,,
,,,,,,,Dark Trap,,,,,,,,,,,,,,Soundtrack,,,,,,,
,,,,,,,Dark Wave,,,,,,,,,,,,,,Southern Rock,,,,,,,
,,,,,,,Darkstep,,,,,,,,,,,,,,Spa,,,,,,,
,,,,,,,Darksynth,,,,,,,,,,,,,,Space,,,,,,,
,,,,,,,Dayton Indie,,,,,,,,,,,,,,Spaced Out,,,,,,,
