BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,Main Genre: Jazz,Acoustic Rock,,Dreamy / Zen / Meditation,,,,,,,,,Pizzicato,,Bittersweet,Agitated,,,Strength and Fortitude,,,,
,,,,,,Big Band / Swing,Action Rock,,Eccentric,,,,,,,,,Sax,,Bliss,Air,,,Empowerment and Empathy,,,,
,,,,,,Bebop,Actors,,Eerie,,,,,,,,,Sitar,,Boisterous,Air Force,,,Justice and Equality,,,,
,,,,,,Contemporary Jazz,Adelaide Indie,,Emotional,,,,,,,,,Steel Drums,,Bold,Airy,,,Melancholy and Melody,,,,
,,,,,,Easy Listening,Adelaide Punk,,Energetic,,,,,,,,,Strings,,Bombastic,Alarming,,,Excitement and Anticipation,,,,
,,,,,,Fusion,Adoracao,,Epic,,,,,,,,,Synth,,Booming,Aliens,,,Anxiety and Tension,,,,
,,,,,,Latin Jazz,Adoracion,,Euphoric,,,,,,,,,Tabla,,Bouncy,Alluring,,,Discovery and Wonder,,,,
,,,,,,Smooth Jazz,Adoracion Pentecostal,,Evil,,,,,,,,,Taiko,,Brave,Alone,,,Forgiveness and Redemption,,,,
,,,,,,,Adult Standards,,Excited,,,,,,,,,Trumpet,,Bright,Alternative Pop,,,Wisdom and Insight,,,,
,,,,,,Main Genre: Metal,Adventista,,Exciting,,,,,,,,,Tuba,,Bubbly,Alternative Rock,,,Determination and Perseverance,,,,
